trial_id,condition,planner,success,truth_path_available,dynamic_inserted,oracle_state,predicted_state,decision_correct,latency_ms,expansions,path_length,truth_path_length,path_length_ratio,clearance_cells,collisions,perception_precision,perception_recall,perception_f1
17,baseline,weighted_a_star,1,1,0,SLOW,SLOW,1,0.577619,55,71.639610,70.468037,1.016626,1.000000,0,0.966102,0.985591,0.975749
18,baseline,dijkstra_navfn_style,1,1,0,SLOW,SLOW,1,25.635545,2745,70.468037,70.468037,1.000000,1.000000,0,0.969359,0.945652,0.957359
18,baseline,a_star,1,1,0,SLOW,SLOW,1,1.564847,169,70.468037,70.468037,1.000000,1.000000,0,0.969359,0.945652,0.957359
18,baseline,weighted_a_star,1,1,0,SLOW,SLOW,1,0.569016,54,71.053824,70.468037,1.008313,1.000000,0,0.969359,0.945652,0.957359
19,baseline,dijkstra_navfn_style,1,1,0,SLOW,SLOW,1,19.668720,2749,72.225397,72.225397,1.000000,1.000000,0,0.947802,0.934959,0.941337
19,baseline,a_star,0,1,0,SLOW,STOP,0,3.554516,390,72.225397,72.225397,1.000000,1.000000,1,0.947802,0.934959,0.941337
19,baseline,weighted_a_star,0,1,0,SLOW,STOP,0,0.917303,91,73.396970,72.225397,1.016221,1.000000,2,0.947802,0.934959,0.941337
20,baseline,dijkstra_navfn_style,1,1,0,PROCEED,PROCEED,1,20.352053,2816,69.296465,69.296465,1.000000,1.900000,0,0.971429,0.954386,0.962832
20,baseline,a_star,1,1,0,PROCEED,PROCEED,1,0.645661,50,69.296465,69.296465,1.000000,1.900000,0,0.971429,0.954386,0.962832
20,baseline,weighted_a_star,1,1,0,PROCEED,PROCEED,1,0.617955,50,69.296465,69.296465,1.000000,1.900000,0,0.971429,0.954386,0.962832
21,baseline,dijkstra_navfn_style,1,1,0,PROCEED,PROCEED,1,19.527353,2803,69.296465,69.296465,1.000000,2.000000,0,0.962457,0.975779,0.969072
21,baseline,a_star,1,1,0,PROCEED,PROCEED,1,0.599632,50,69.296465,69.296465,1.000000,2.000000,0,0.962457,0.975779,0.969072
21,baseline,weighted_a_star,1,1,0,PROCEED,PROCEED,1,0.469343,50,69.296465,69.296465,1.000000,2.000000,0,0.962457,0.975779,0.969072
22,baseline,dijkstra_navfn_style,1,1,0,SLOW,SLOW,1,15.051132,2785,70.468037,70.468037,1.000000,1.000000,0,0.981651,0.984663,0.983155
22,baseline,a_star,1,1,0,SLOW,SLOW,1,0.829919,120,70.468037,70.468037,1.000000,1.000000,0,0.981651,0.984663,0.983155
22,baseline,weighted_a_star,0,1,0,SLOW,STOP,0,0.401849,52,70.468037,70.468037,1.000000,1.000000,1,0.981651,0.984663,0.983155
23,baseline,dijkstra_navfn_style,1,1,0,SLOW,SLOW,1,19.614106,2788,69.882251,69.882251,1.000000,1,0,0.955272,0.955272,0.955272
23,baseline,a_star,1,1,0,SLOW,SLOW,1,0.928581,99,69.882251,69.882251,1.000000,1,0,0.955272,0.955272,0.955272
23,baseline,weighted_a_star,1,1,0,SLOW,SLOW,1,0.548193,52,70.468037,69.882251,1.008382,1.000000,0,0.955272,0.955272,0.955272
24,baseline,dijkstra_navfn_style,1,1,0,SLOW,SLOW,1,19.588276,2758,69.882251,69.882251,1.000000,1,0,0.953216,0.956012,0.954612
24,baseline,a_star,1,1,0,SLOW,SLOW,1,0.686280,65,69.882251,69.882251,1.000000,1,0,0.953216,0.956012,0.954612
24,baseline,weighted_a_star,1,1,0,SLOW,SLOW,1,0.533061,51,69.882251,69.882251,1.000000,1,0,0.953216,0.956012,0.954612
25,baseline,dijkstra_navfn_style,0,1,0,SLOW,STOP,0,33.013541,2752,69.882251,69.882251,1.000000,1,1,0.954802,0.991202,0.972662
25,baseline,a_star,1,1,0,SLOW,SLOW,1,1.084743,65,69.882251,69.882251,1.000000,1,0,0.954802,0.991202,0.972662
25,baseline,weighted_a_star,1,1,0,SLOW,SLOW,1,10.262485,51,69.882251,69.882251,1.000000,1,0,0.954802,0.991202,0.972662
26,baseline,dijkstra_navfn_style,1,1,0,SLOW,SLOW,1,20.550726,2815,70.468037,70.468037,1.000000,1.000000,0,0.928082,0.960993,0.944251
26,baseline,a_star,1,1,0,SLOW,SLOW,1,1.314244,126,70.468037,70.468037,1.000000,1.000000,0,0.928082,0.960993,0.944251
26,baseline,weighted_a_star,1,1,0,SLOW,SLOW,1,0.550725,52,70.468037,70.468037,1.000000,1.000000,0,0.928082,0.960993,0.944251
27,baseline,dijkstra_navfn_style,1,1,0,PROCEED,PROCEED,1,20.612778,2766,69.882251,69.882251,1.000000,2,0,0.955224,0.952381,0.953800
27,baseline,a_star,1,1,0,PROCEED,PROCEED,1,0.827043,68,69.882251,69.882251,1.000000,2,0,0.955224,0.952381,0.953800
27,baseline,weighted_a_star,1,1,0,PROCEED,PROCEED,1,0.640314,51,69.882251,69.882251,1.000000,2,0,0.955224,0.952381,0.953800
28,baseline,dijkstra_navfn_style,1,1,0,SLOW,SLOW,1,13.619017,2730,69.882251,69.882251,1.000000,1,0,0.965517,0.960422,0.962963
28,baseline,a_star,1,1,0,SLOW,SLOW,1,0.502521,67,69.882251,69.882251,1.000000,1,0,0.965517,0.960422,0.962963
